CITY,zipprevcase,mprevcase,fprevcase,bnhprevcase,hispprevcase,wnhprevcase,asnhprevcase,otherprevcase,zipndxcase,zipndxprop,mndxcase,mndxprop,fndxcase,fndxprop,bnhndxcase,bnhndxprop,hispndxcase,hispndxprop,wnhndxcase,wnhndxprop,age1324ndxcase,age1324ndxprop,age2544ndxcase,age2544ndxprop,age4559ndxcase,age4559ndxprop,age60overndxcase,age60overndxprop,zipldxcase,zipldxprop,mldxcase,mldxprop,fldxcase,fldxprop,bnhldxcase,bnhldxprop,hispldxcase,hispldxprop,wnhldxcase,wnhldxprop,age1324ldxcase,age1324ldxprop,age2544ldxcase,age2544ldxprop,age4559ldxcase,age4559ldxprop,age60overldxcase,age60overldxprop,ziplccase,ziplcprop,mlccase,mlcprop,flccase,flcprop,bnhlccase,bnhlcprop,hisplccase,hisplcprop,wnhlccase,wnhlcprop,age1324lccase,age1324lcprop,age2544lccase,age2544lcprop,age4559lccase,age4559lcprop,age60overlccase,age60overlcprop,ziprccase,ziprcprop,mrccase,mrcprop,frccase,frcprop,bnhrccase,bnhrcprop,hisprccase,hisprcprop,wnhrccase,wnhrcprop,age1324rccase,age1324rcprop,age2544rccase,age2544rcprop,age4559rccase,age4559rcprop,age60overrccase,age60overrcprop,zipvscase,zipvsprop,mvscase,mvsprop,fvscase,fvsprop,bnhvscase,bnhvsprop,hispvscase,hispvsprop,wnhvscase,wnhvsprop,age1324vscase,age1324vsprop,age2544vscase,age2544vsprop,age4559vscase,age4559vsprop,age60overvscase,age60overvsprop
Columbia,2687,2017,670,2048,132,460,9,38,772,29.1,633,49.3,139,10.2,569,68,40,33.3,138,8.6,217,35.3,382,43.5,146,22.6,27,5.3,187,24.2,151,23.9,36,25.9,127,22.3,21,52.5,30,21.7,30,13.8,94,24.6,56,38.4,7,25.9,598,77.5,492,77.7,106,76.3,432,75.9,36,90,109,79,154,71,302,79.1,122,83.6,20,74.1,1655,66.9,1232,65.9,423,70,1307,68.9,55,45.8,262,63.3,69,86.3,611,65.6,696,66.2,279,68.2,1384,51.5,1029,51,355,53,1081,52.8,50,37.9,232,50.4,54,64.3,492,50.1,592,51.2,246,53.1
Dallas,17983,14613,3370,7674,4463,4740,215,891,4217,41.8,3516,71.1,701,13.6,1876,86.5,1295,38.4,804,20.9,1016,46.5,2374,60.9,695,29.2,132,8.1,862,20.4,700,19.9,162,23.1,351,18.7,323,24.9,144,17.9,87,8.6,476,20.1,241,34.7,58,43.9,2866,68,2376,67.6,490,69.9,1180,62.9,964,74.4,567,70.5,626,61.6,1618,68.2,518,74.5,104,78.8,13675,80.6,11120,80.7,2555,80.3,5611,78.7,3354,79.5,3815,84,431,80.1,5780,79.4,5607,81.7,1857,81.5,10703,59.5,8772,60,1931,57.3,4101,53.4,2616,58.6,3278,69.2,277,46.4,4145,52.9,4623,64.5,1658,69.4
Denver,9853,8723,1130,1665,2203,5575,118,292,1431,14,1273,25.2,158,3.1,232,42.6,494,23.9,649,9.3,279,14.6,836,22,268,10.2,48,2.5,312,21.8,277,21.8,35,22.2,50,21.6,128,25.9,122,18.8,25,9,170,20.3,96,35.8,21,43.8,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6154,74,5355,73.6,799,76.5,1066,72,1486,74.9,3344,74.5,143,82.2,2271,76.2,2692,73.2,1048,70.7,5463,55.4,4750,54.5,713,63.1,897,53.9,1291,58.6,3050,54.7,119,65.7,1952,63,2431,56.3,961,42.7
FortWort,5750,4370,1380,2522,1267,1594,96,271,1397,18.9,1146,31.9,251,6.6,654,67.5,351,20.6,317,7.5,367,23.3,716,26.5,265,14.3,49,3.9,311,22.3,249,21.7,62,24.7,126,19.3,87,24.8,79,24.9,38,10.4,152,21.2,101,38.1,20,40.8,893,63.9,722,63,171,68.1,394,60.2,238,67.8,213,67.2,203,55.3,467,65.2,188,70.9,35,71.4,4295,80.3,3254,80.4,1041,80.1,1829,79.6,910,77.1,1257,82.8,142,75.1,1727,78.7,1782,82.1,644,81.2,3587,62.4,2733,62.5,854,61.9,1461,57.9,772,60.9,1108,69.5,110,49.6,1332,55.5,1547,68,598,70.1
HamptonRoads,6814,4957,1857,4646,350,1521,47,250,1462,20.6,1179,34.2,283,7.8,1012,47.5,86,25.7,318,7.6,466,29.4,713,31.2,231,12.8,52,3.6,286,19.6,224,19,62,21.9,205,20.3,10,11.6,61,19.2,36,7.7,136,19.1,86,37.2,28,53.8,932,63.7,745,63.2,187,66.1,608,60.1,57,66.3,231,72.6,271,58.2,457,64.1,165,71.4,39,75,4607,74.1,3283,72.7,1324,77.7,3157,74.4,213,66.8,1016,73.7,184,82.1,1741,73.3,1872,74.6,810,72.8,4213,61.8,3007,60.7,1206,65,2864,61.6,195,55.7,947,62.3,167,69,1554,61,1752,63.1,740,59.3
Hartford,3006,2024,982,940,1084,918,38,26,450,8.8,333,13.5,117,4.4,164,32.8,142,25,133,3.5,74,7.4,207,13.6,135,9.7,34,2.8,118,26.2,91,27.3,27,23.1,43,26.2,32,22.5,37,27.8,4,5.4,52,25.1,51,37.8,11,32.4,344,76.4,251,75.4,93,79.5,120,73.2,106,74.6,109,82,49,66.2,159,76.8,109,80.7,27,79.4,2385,83,1601,82.9,784,83.3,749,83.1,836,80.6,754,86.1,45,78.9,560,81,1163,84.1,617,83.2,2093,69.6,1405,69.4,688,70.1,650,69.1,724,66.8,681,74.2,33,54.1,463,62.7,1031,72.2,566,72.7
Houston,25843,19487,6356,12590,7655,4356,319,923,6294,35.8,4961,57.2,1333,15,2895,88.8,2313,36,780,12.1,1462,37.7,3551,52.9,1059,25,222,8.1,1256,20,986,19.9,270,20.3,488,16.9,584,25.2,136,17.4,121,8.3,728,20.5,334,31.5,73,32.9,4028,64,3145,63.4,883,66.2,1703,58.8,1552,67.1,568,72.8,844,57.7,2281,64.2,751,70.9,152,68.5,18750,77.2,14041,77,4709,77.8,9045,76.9,5403,75.4,3322,79.9,603,78.2,8115,76.4,7332,78.3,2700,76.5,15471,59.9,11709,60.1,3762,59.2,7072,56.2,4635,60.5,2961,68,409,49.3,6352,55.9,6256,63.3,2454,65
Jackson,7038,4746,2292,4534,429,1861,60,154,1607,29.4,1199,45.4,408,14.4,998,88.7,119,34.2,440,11.9,363,33.5,832,46.5,328,23,84,7.2,341,21.2,247,20.6,94,23,217,21.7,27,22.7,86,19.5,32,8.8,170,20.4,114,34.8,25,29.8,1020,63.5,757,63.1,263,64.5,595,59.6,83,69.7,309,70.2,208,57.3,527,63.3,228,69.5,57,67.9,5611,82.7,3799,83,1812,82,3593,82.5,323,76.5,1520,84.5,220,87,2118,79.2,2325,84,948,86.8,4412,62.7,3029,63.8,1383,60.3,2716,59.9,261,60.8,1296,69.6,150,56,1564,56.3,1917,67.1,781,68.8
LasVegas,9001,7558,1443,2654,2289,3474,378,206,2129,26.7,1846,46.1,283,7.1,647,81.8,664,31.9,647,15.8,403,25.7,1247,42.8,408,21.6,71,4.4,467,21.9,390,21.1,77,27.2,127,19.6,148,22.3,149,23,35,8.7,255,20.4,143,35,34,47.9,1715,80.6,1486,80.5,229,80.9,500,77.3,556,83.7,520,80.4,316,78.4,992,79.6,347,85,60,84.5,5965,72.1,4999,72.1,966,72.2,1725,70.9,1522,71,2309,73.5,142,71,2428,72.1,2444,71.9,951,73,5149,57.2,4311,57,838,58.1,1397,52.6,1349,58.9,2053,59.1,118,52.2,2016,55.7,2160,58.5,855,58.6
MiamiDade,25651,19240,6411,10626,12025,2670,83,247,6091,57.7,5003,99,1088,19.8,1866,108.7,3609,51.8,569,35.5,901,44.3,3398,95.3,1388,54,404,17,1054,17.3,839,16.8,215,19.8,375,20.1,595,16.5,74,13,70,7.8,538,15.8,334,24.1,112,27.7,4144,68,3480,69.6,664,61,1100,59,2567,71.1,442,77.7,549,60.9,2333,68.7,979,70.5,283,70.1,18128,78.3,13590,78.2,4538,78.6,7171,76.6,8872,80.3,1849,76.2,414,72.3,5752,78.5,8070,79.5,3892,76.4,15418,60.1,11873,61.7,3545,55.3,5535,52.1,7974,66.3,1711,64.1,302,48.2,4777,59.4,6936,61.9,3403,59
